date,coin,value
2016-02-25,ripple,0.008062999999999999
2016-02-25,bitcoin,425.04
2016-02-25,ethereum,6.19
2016-02-26,bitcoin,424.63
2016-02-26,ripple,0.008025
2016-02-26,ethereum,6.04
2016-02-27,ethereum,5.96
2016-02-27,bitcoin,432.84
2016-02-27,ripple,0.008062999999999999
2016-02-28,bitcoin,432.57
2016-02-28,ripple,0.007977
2016-02-28,ethereum,6.41
2016-02-29,ethereum,6.46
2016-02-29,bitcoin,433.44
2016-02-29,ripple,0.007895000000000001
2016-03-01,ethereum,6.32
2016-03-01,ripple,0.007923000000000001
2016-03-01,bitcoin,437.92
2016-03-02,ripple,0.008005
2016-03-02,bitcoin,435.13
2016-03-02,ethereum,7.63
2016-03-03,ethereum,8.44
2016-03-03,bitcoin,423.91
2016-03-03,ripple,0.008028
2016-03-04,ethereum,9.24
2016-03-04,ripple,0.008036
2016-03-04,bitcoin,421.84
2016-03-05,bitcoin,410.78
2016-03-05,ethereum,10.37
2016-03-05,ripple,0.008117000000000001
2016-03-06,ethereum,11.2
2016-03-06,ripple,0.007857
2016-03-06,bitcoin,400.52
2016-03-07,bitcoin,407.76
2016-03-07,ethereum,11.43
2016-03-07,ripple,0.007835
2016-03-08,bitcoin,414.46
2016-03-08,ethereum,9.58
2016-03-08,ripple,0.007911
2016-03-09,bitcoin,413.89
2016-03-09,ethereum,9.79
2016-03-09,ripple,0.007951
2016-03-10,ethereum,11.88
2016-03-10,bitcoin,414.74
2016-03-10,ripple,0.008051
2016-03-11,ripple,0.008183
2016-03-11,bitcoin,417.24
2016-03-11,ethereum,11.22
2016-03-12,bitcoin,421.61
2016-03-12,ethereum,11.13
2016-03-12,ripple,0.008801
2016-03-13,bitcoin,411.65
2016-03-13,ethereum,13.51
2016-03-13,ripple,0.008698000000000001
2016-03-14,ethereum,14.51
2016-03-14,bitcoin,414.2
2016-03-14,ripple,0.008624
2016-03-15,ripple,0.008478
2016-03-15,bitcoin,416.39
2016-03-15,ethereum,13.0
2016-03-16,ripple,0.008185
2016-03-16,ethereum,13.02
2016-03-16,bitcoin,416.89
2016-03-17,ethereum,12.56
2016-03-17,ripple,0.008183
2016-03-17,bitcoin,417.89
2016-03-18,ethereum,11.11
2016-03-18,bitcoin,420.55
2016-03-18,ripple,0.008284
2016-03-19,ethereum,11.2
2016-03-19,ripple,0.008124
2016-03-19,bitcoin,409.26
2016-03-20,ethereum,10.52
2016-03-20,bitcoin,410.4
2016-03-20,ripple,0.008015000000000001
2016-03-21,bitcoin,413.42
2016-03-21,ethereum,10.3
2016-03-21,ripple,0.007956
2016-03-22,bitcoin,413.13
2016-03-22,ethereum,11.88
2016-03-22,ripple,0.008028
2016-03-23,ethereum,11.33
2016-03-23,ripple,0.008109
2016-03-23,bitcoin,418.16
2016-03-24,bitcoin,418.42
2016-03-24,ethereum,12.44
2016-03-24,ripple,0.008334999999999999
2016-03-25,ethereum,11.26
2016-03-25,ripple,0.008234
2016-03-25,bitcoin,416.51
2016-03-26,ethereum,10.77
2016-03-26,bitcoin,417.37
2016-03-26,ripple,0.008190000000000001
2016-03-27,ethereum,10.99
2016-03-27,bitcoin,418.14
2016-03-27,ripple,0.008062
2016-03-28,bitcoin,426.55
2016-03-28,ethereum,10.43
2016-03-28,ripple,0.008025
2016-03-29,ripple,0.007573000000000002
2016-03-29,ethereum,11.75
2016-03-29,bitcoin,424.3
2016-03-30,ripple,0.007568000000000002
2016-03-30,ethereum,11.61
2016-03-30,bitcoin,416.83
2016-03-31,bitcoin,415.26
2016-03-31,ripple,0.007331999999999998
2016-03-31,ethereum,11.92
2016-04-01,ethereum,11.4
2016-04-01,bitcoin,416.76
2016-04-01,ripple,0.007391
2016-04-02,bitcoin,418.42
2016-04-02,ethereum,11.63
2016-04-02,ripple,0.007418000000000002
2016-04-03,ripple,0.007504
2016-04-03,ethereum,11.63
2016-04-03,bitcoin,421.17
2016-04-04,bitcoin,421.3
2016-04-04,ripple,0.007502
2016-04-04,ethereum,11.62
2016-04-05,ethereum,11.21
2016-04-05,ripple,0.007488
2016-04-05,bitcoin,421.02
2016-04-06,ripple,0.007467
2016-04-06,ethereum,10.45
2016-04-06,bitcoin,424.28
2016-04-07,ethereum,10.7
2016-04-07,ripple,0.007308
2016-04-07,bitcoin,423.62
2016-04-08,bitcoin,422.91
2016-04-08,ethereum,10.08
2016-04-08,ripple,0.006875
2016-04-09,bitcoin,420.81
2016-04-09,ethereum,9.69
2016-04-09,ripple,0.006673999999999999
2016-04-10,ethereum,9.15
2016-04-10,bitcoin,419.59
2016-04-10,ripple,0.006289
2016-04-11,ethereum,8.94
2016-04-11,bitcoin,421.87
2016-04-11,ripple,0.005937
2016-04-12,ripple,0.006048
2016-04-12,bitcoin,422.84
2016-04-12,ethereum,8.64
2016-04-13,ethereum,7.44
2016-04-13,bitcoin,425.63
2016-04-13,ripple,0.005884
2016-04-14,ethereum,8.08
2016-04-14,ripple,0.005697
2016-04-14,bitcoin,423.94
2016-04-15,ethereum,8.39
2016-04-15,ripple,0.006303
2016-04-15,bitcoin,424.43
2016-04-16,bitcoin,429.57
2016-04-16,ripple,0.006421
2016-04-16,ethereum,8.24
2016-04-17,ethereum,8.62
2016-04-17,bitcoin,430.64
2016-04-17,ripple,0.006499
2016-04-18,ripple,0.006503
2016-04-18,bitcoin,427.61
2016-04-18,ethereum,9.33
2016-04-19,ethereum,9.08
2016-04-19,ripple,0.006987
2016-04-19,bitcoin,428.7
2016-04-20,bitcoin,435.32
2016-04-20,ripple,0.007117
2016-04-20,ethereum,8.69
2016-04-21,ripple,0.0072650000000000015
2016-04-21,bitcoin,441.42
2016-04-21,ethereum,8.45
2016-04-22,ripple,0.007439
2016-04-22,ethereum,8.15
2016-04-22,bitcoin,449.69
2016-04-23,bitcoin,445.86
2016-04-23,ethereum,7.79
2016-04-23,ripple,0.0072819999999999985
2016-04-24,ethereum,8.29
2016-04-24,bitcoin,450.56
2016-04-24,ripple,0.007344
2016-04-25,ethereum,8.01
2016-04-25,ripple,0.00725
2016-04-25,bitcoin,459.12
2016-04-26,ripple,0.007279000000000002
2016-04-26,bitcoin,461.65
2016-04-26,ethereum,7.53
2016-04-27,ripple,0.007094
2016-04-27,bitcoin,466.26
2016-04-27,ethereum,7.39
2016-04-28,ethereum,7.74
2016-04-28,ripple,0.00672
2016-04-28,bitcoin,445.04
2016-04-29,bitcoin,449.41
2016-04-29,ripple,0.006689
2016-04-29,ethereum,7.21
2016-04-30,ethereum,7.45
2016-04-30,ripple,0.006761
2016-04-30,bitcoin,455.18
2016-05-01,bitcoin,448.48
2016-05-01,ethereum,8.78
2016-05-01,ripple,0.006812
2016-05-02,ethereum,8.89
2016-05-02,bitcoin,451.93
2016-05-02,ripple,0.006790999999999999
2016-05-03,ethereum,10.17
2016-05-03,bitcoin,444.73
2016-05-03,ripple,0.006716
2016-05-04,ethereum,9.38
2016-05-04,bitcoin,450.18
2016-05-04,ripple,0.006558
2016-05-05,ripple,0.006323
2016-05-05,bitcoin,446.71
2016-05-05,ethereum,9.4
2016-05-06,ripple,0.006198
2016-05-06,ethereum,9.81
2016-05-06,bitcoin,447.94
2016-05-07,ripple,0.0063950000000000005
2016-05-07,ethereum,9.32
2016-05-07,bitcoin,459.64
2016-05-08,ethereum,9.37
2016-05-08,ripple,0.006490000000000001
2016-05-08,bitcoin,458.43
2016-05-09,ripple,0.006402
2016-05-09,bitcoin,458.21
2016-05-09,ethereum,9.49
2016-05-10,bitcoin,460.52
2016-05-10,ripple,0.006399
2016-05-10,ethereum,9.28
2016-05-11,bitcoin,450.86
2016-05-11,ripple,0.006272
2016-05-11,ethereum,9.43
2016-05-12,ethereum,10.0
2016-05-12,ripple,0.006188
2016-05-12,bitcoin,452.45
2016-05-13,ethereum,10.06
2016-05-13,bitcoin,454.85
2016-05-13,ripple,0.006167
2016-05-14,bitcoin,455.82
2016-05-14,ethereum,10.51
2016-05-14,ripple,0.006111
2016-05-15,bitcoin,455.76
2016-05-15,ethereum,10.24
2016-05-15,ripple,0.006072
2016-05-16,ripple,0.006061
2016-05-16,ethereum,9.97
2016-05-16,bitcoin,457.59
2016-05-17,ripple,0.006022
2016-05-17,bitcoin,454.01
2016-05-17,ethereum,11.19
2016-05-18,ethereum,12.18
2016-05-18,ripple,0.006022
2016-05-18,bitcoin,453.69
2016-05-19,bitcoin,454.52
2016-05-19,ethereum,13.54
2016-05-19,ripple,0.006025
2016-05-20,ripple,0.006028
2016-05-20,ethereum,14.85
2016-05-20,bitcoin,437.79
2016-05-21,bitcoin,442.97
2016-05-21,ethereum,13.69
2016-05-21,ripple,0.00609
2016-05-22,ethereum,14.04
2016-05-22,bitcoin,443.22
2016-05-22,ripple,0.005989
2016-05-23,ethereum,14.28
2016-05-23,bitcoin,439.35
2016-05-23,ripple,0.005935
2016-05-24,bitcoin,444.29
2016-05-24,ripple,0.005911
2016-05-24,ethereum,13.31
2016-05-25,ripple,0.005961999999999999
2016-05-25,bitcoin,446.06
2016-05-25,ethereum,12.79
2016-05-26,ripple,0.005757
2016-05-26,ethereum,12.52
2016-05-26,bitcoin,449.67
2016-05-27,ripple,0.0056700000000000006
2016-05-27,ethereum,12.39
2016-05-27,bitcoin,453.52
2016-05-28,ethereum,11.33
2016-05-28,bitcoin,473.03
2016-05-28,ripple,0.005676
2016-05-29,ethereum,12.11
2016-05-29,bitcoin,527.48
2016-05-29,ripple,0.005682
2016-05-30,ethereum,12.33
2016-05-30,bitcoin,528.47
2016-05-30,ripple,0.005664
2016-05-31,ripple,0.005746
2016-05-31,ethereum,12.74
2016-05-31,bitcoin,534.19
2016-06-01,bitcoin,531.11
2016-06-01,ethereum,14.11
2016-06-01,ripple,0.005701
2016-06-02,ethereum,13.99
2016-06-02,bitcoin,536.51
2016-06-02,ripple,0.005809
2016-06-03,ripple,0.005765999999999999
2016-06-03,ethereum,13.74
2016-06-03,bitcoin,537.68
2016-06-04,bitcoin,569.71
2016-06-04,ripple,0.005829
2016-06-04,ethereum,13.86
2016-06-05,ethereum,13.76
2016-06-05,bitcoin,573.31
2016-06-05,ripple,0.005779
2016-06-06,ripple,0.005795000000000001
2016-06-06,bitcoin,574.6
2016-06-06,ethereum,14.0
2016-06-07,ripple,0.005764
2016-06-07,bitcoin,585.45
2016-06-07,ethereum,13.95
2016-06-08,ethereum,14.51
2016-06-08,ripple,0.00578
2016-06-08,bitcoin,577.17
2016-06-09,bitcoin,582.2
2016-06-09,ethereum,14.43
